	                {[S -> .function functions, $]}	0	{[S -> .function functions, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(43, ;)	{[jump_stmt -> continue ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	70	{[jump_stmt -> continue ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(44, ;)	{[jump_stmt -> break ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	71	{[jump_stmt -> break ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(45, isnull_expr)	{[jump_stmt -> return isnull_expr.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	72	{[jump_stmt -> return isnull_expr.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(45, expression)	{[isnull_expr -> expression., ;]}	73	{[isnull_expr -> expression., ;]}
goto(45, $)	{[isnull_expr -> $., ;]}	74	{[isnull_expr -> $., ;]}
goto(45, value)	{[expression -> value.operation, ;]}	51	 
goto(45, item)	{[value -> item.value', $/>/>=/	52	 
goto(45, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(45, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(45, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(45, const)	{[factor -> const., *///%/$]}	56	 
goto(45, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(45, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(45, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(45, STR)	{[const -> STR., *///%/$]}	60	 
goto(45, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(45, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(45, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(46, ()	{[iteration_stmt -> while (.logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	75	{[iteration_stmt -> while (.logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [logical_expression -> .! expression bool_expression, )]; [logical_expression -> .expression bool_expression, )]; [expression -> .value operation, $/&&/||]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(47, ()	{[iteration_stmt -> for (.isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	76	{[iteration_stmt -> for (.isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [isnull_expr -> .expression, ;]; [isnull_expr -> .$, ;]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(48, block_stmt)	{[iteration_stmt -> do block_stmt.while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	77	{[iteration_stmt -> do block_stmt.while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(48, {)	{[block_stmt -> {.stmts }, while]}	78	{[block_stmt -> {.stmts }, while]; [stmts -> .stmt stmts, }]; [stmts -> .$, }]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(49, ()	{[branch_stmt -> if (.logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	79	{[branch_stmt -> if (.logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [logical_expression -> .! expression bool_expression, )]; [logical_expression -> .expression bool_expression, )]; [expression -> .value operation, $/&&/||]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(50, ()	{[branch_stmt -> switch (.id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	80	{[branch_stmt -> switch (.id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, operation)	{[expression -> value operation., ;]}	81	{[expression -> value operation., ;]}
goto(51, compare_op)	{[operation -> compare_op.value, ;]}	82	{[operation -> compare_op.value, ;]; [value -> .item value', ;]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(51, equal_op)	{[operation -> equal_op.value, ;]}	83	{[operation -> equal_op.value, ;]; [value -> .item value', ;]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(51, $)	{[operation -> $., ;]}	84	{[operation -> $., ;]}
goto(51, >)	{[compare_op -> >., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	85	{[compare_op -> >., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, >=)	{[compare_op -> >=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	86	{[compare_op -> >=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, <)	{[compare_op -> <., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	87	{[compare_op -> <., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, <=)	{[compare_op -> <=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	88	{[compare_op -> <=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, ==)	{[compare_op -> ==., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	89	{[compare_op -> ==., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, !=)	{[compare_op -> !=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	90	{[compare_op -> !=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, =)	{[equal_op -> =., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	91	{[equal_op -> =., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, +=)	{[equal_op -> +=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	92	{[equal_op -> +=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, -=)	{[equal_op -> -=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	93	{[equal_op -> -=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, *=)	{[equal_op -> *=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	94	{[equal_op -> *=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, /=)	{[equal_op -> /=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	95	{[equal_op -> /=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(51, %=)	{[equal_op -> %=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	96	{[equal_op -> %=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(52, value')	{[value -> item value'., $/>/>=/}	97	{[value -> item value'., $/>/>=/}
goto(52, +)	{[value' -> +.item value', $/>/>=/	98	{[value' -> +.item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(52, -)	{[value' -> -.item value', $/>/>=/	99	{[value' -> -.item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(52, $)	{[value' -> $., $/>/>=/}	100	{[value' -> $., $/>/>=/}
goto(53, item')	{[item -> factor item'., +/-/$]}	101	{[item -> factor item'., +/-/$]}
goto(53, *)	{[item' -> *.factor item', +/-/$]}	102	{[item' -> *.factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(53, /)	{[item' -> /.factor item', +/-/$]}	103	{[item' -> /.factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(53, %)	{[item' -> %.factor item', +/-/$]}	104	{[item' -> %.factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(53, $)	{[item' -> $., +/-/$]}	105	{[item' -> $., +/-/$]}
goto(54, value)	{[factor -> ( value.), *///%/$]}	106	{[factor -> ( value.), *///%/$]}
goto(54, item)	{[value -> item.value', )]}	107	{[value -> item.value', )]; [value' -> .+ item value', )]; [value' -> .- item value', )]; [value' -> .$, )]}
goto(54, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(54, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(54, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(54, const)	{[factor -> const., *///%/$]}	56	 
goto(54, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(54, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(54, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(54, STR)	{[const -> STR., *///%/$]}	60	 
goto(54, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(54, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(54, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(55, call_function)	{[factor -> id call_function., *///%/$]}	108	{[factor -> id call_function., *///%/$]}
goto(55, ()	{[call_function -> (.es ), *///%/$]}	109	{[call_function -> (.es ), *///%/$]; [es -> .isnull_expr isnull_es, )]; [isnull_expr -> .expression, ,/$]; [isnull_expr -> .$, ,/$]; [expression -> .value operation, ,/$]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(55, $)	{[call_function -> $., *///%/$]}	110	{[call_function -> $., *///%/$]}
goto(65, init)	{[define_stmt -> type id init.vars ;, $/int/short/long/char/float/double/void/unsigned]}	111	{[define_stmt -> type id init.vars ;, $/int/short/long/char/float/double/void/unsigned]; [vars -> ., id init vars, ;]; [vars -> .$, ;]}
goto(65, =)	{[init -> =.expression, ,/$]}	112	{[init -> =.expression, ,/$]; [expression -> .value operation, ,/$]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(65, $)	{[init -> $., ,/$]}	113	{[init -> $., ,/$]}
goto(66, arg)	{[arg -> , type id arg., )]}	114	{[arg -> , type id arg., )]}
goto(66, ,)	{[arg -> ,.type id arg, )]}	28	 
goto(66, $)	{[arg -> $., )]}	29	 
goto(72, ;)	{[jump_stmt -> return isnull_expr ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	115	{[jump_stmt -> return isnull_expr ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(75, logical_expression)	{[iteration_stmt -> while ( logical_expression.) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	116	{[iteration_stmt -> while ( logical_expression.) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(75, !)	{[logical_expression -> !.expression bool_expression, )]}	117	{[logical_expression -> !.expression bool_expression, )]; [expression -> .value operation, $/&&/||]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(75, expression)	{[logical_expression -> expression.bool_expression, )]}	118	{[logical_expression -> expression.bool_expression, )]; [bool_expression -> .lop expression bool_expression, )]; [bool_expression -> .$, )]; [lop -> .&&, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [lop -> .||, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(75, value)	{[expression -> value.operation, $/&&/||]}	119	{[expression -> value.operation, $/&&/||]; [operation -> .compare_op value, $/&&/||]; [operation -> .equal_op value, $/&&/||]; [operation -> .$, $/&&/||]; [compare_op -> .>, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .>=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .==, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .!=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .+=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .-=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .*=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> ./=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .%=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(75, item)	{[value -> item.value', $/>/>=/	52	 
goto(75, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(75, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(75, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(75, const)	{[factor -> const., *///%/$]}	56	 
goto(75, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(75, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(75, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(75, STR)	{[const -> STR., *///%/$]}	60	 
goto(75, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(75, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(75, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(76, isnull_expr)	{[iteration_stmt -> for ( isnull_expr.; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	120	{[iteration_stmt -> for ( isnull_expr.; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(76, expression)	{[isnull_expr -> expression., ;]}	73	 
goto(76, $)	{[isnull_expr -> $., ;]}	74	 
goto(76, value)	{[expression -> value.operation, ;]}	51	 
goto(76, item)	{[value -> item.value', $/>/>=/	52	 
goto(76, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(76, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(76, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(76, const)	{[factor -> const., *///%/$]}	56	 
goto(76, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(76, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(76, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(76, STR)	{[const -> STR., *///%/$]}	60	 
goto(76, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(76, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(76, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(77, while)	{[iteration_stmt -> do block_stmt while.( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	121	{[iteration_stmt -> do block_stmt while.( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(78, stmts)	{[block_stmt -> { stmts.}, while]}	122	{[block_stmt -> { stmts.}, while]}
goto(78, stmt)	{[stmts -> stmt.stmts, }]}	36	 
goto(78, $)	{[stmts -> $., }]}	37	 
goto(78, assign_stmt)	{[stmt -> assign_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	38	 
goto(78, jump_stmt)	{[stmt -> jump_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	39	 
goto(78, iteration_stmt)	{[stmt -> iteration_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	40	 
goto(78, branch_stmt)	{[stmt -> branch_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	41	 
goto(78, expression)	{[assign_stmt -> expression.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	42	 
goto(78, continue)	{[jump_stmt -> continue.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	43	 
goto(78, break)	{[jump_stmt -> break.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	44	 
goto(78, return)	{[jump_stmt -> return.isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	45	 
goto(78, while)	{[iteration_stmt -> while.( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	46	 
goto(78, for)	{[iteration_stmt -> for.( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	47	 
goto(78, do)	{[iteration_stmt -> do.block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	48	 
goto(78, if)	{[branch_stmt -> if.( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	49	 
goto(78, switch)	{[branch_stmt -> switch.( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	50	 
goto(78, value)	{[expression -> value.operation, ;]}	51	 
goto(78, item)	{[value -> item.value', $/>/>=/	52	 
goto(78, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(78, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(78, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(78, const)	{[factor -> const., *///%/$]}	56	 
goto(78, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(78, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(78, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(78, STR)	{[const -> STR., *///%/$]}	60	 
goto(78, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(78, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(78, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(79, logical_expression)	{[branch_stmt -> if ( logical_expression.) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	123	{[branch_stmt -> if ( logical_expression.) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(79, !)	{[logical_expression -> !.expression bool_expression, )]}	117	 
goto(79, expression)	{[logical_expression -> expression.bool_expression, )]}	118	 
goto(79, value)	{[expression -> value.operation, $/&&/||]}	119	 
goto(79, item)	{[value -> item.value', $/>/>=/	52	 
goto(79, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(79, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(79, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(79, const)	{[factor -> const., *///%/$]}	56	 
goto(79, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(79, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(79, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(79, STR)	{[const -> STR., *///%/$]}	60	 
goto(79, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(79, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(79, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(80, id)	{[branch_stmt -> switch ( id.) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	124	{[branch_stmt -> switch ( id.) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(82, value)	{[operation -> compare_op value., ;]}	125	{[operation -> compare_op value., ;]}
goto(82, item)	{[value -> item.value', ;]}	126	{[value -> item.value', ;]; [value' -> .+ item value', ;]; [value' -> .- item value', ;]; [value' -> .$, ;]}
goto(82, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(82, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(82, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(82, const)	{[factor -> const., *///%/$]}	56	 
goto(82, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(82, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(82, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(82, STR)	{[const -> STR., *///%/$]}	60	 
goto(82, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(82, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(82, INT16)	{[num_const -> INT16., *///%/$]}	63	 
